stampm,pressure,dew_point,precipitation,humidity,temperature,wind_bearing,wind_speed,illuminance,pressure_tendency
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594940400.0,1016.2,,0.0,72.0,18.0,,6.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594944000.0,1015.4,,0.0,77.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
1594947600.0,1015.6,,0.0,79.0,17.0,,5.0,,
